Spoken_Volume_ID,Track_ID,Loudness,Instrumentalness,Speechiness,Acousticness
337,337,-6.724,0,0.522,0.376
338,338,-7.059,0,0.189,0.337
339,339,-5.572,0,0.348,0.0195
340,340,-3.683,2.36E-06,0.0427,0.148
341,341,-4.352,0,0.0309,0.237
342,342,-7.884,0,0.0264,0.46
343,343,-8.788,0,0.0344,0.291
344,344,-14.238,0,0.0277,0.0367
345,345,-7.643,0,0.0272,0.217
346,346,-8.121,0,0.0297,0.522
347,347,-8.546,0.00178,0.0304,0.571
348,348,-6.265,0,0.0351,0.161
349,349,-6.982,0,0.0269,0.645
350,350,-5.668,9.69E-06,0.141,0.0368
351,351,-6.596,0,0.226,0.00249
352,352,-6.398,6.59E-05,0.0998,0.00453
353,353,-5.039,2.71E-06,0.0795,0.0581
354,354,-5.908,0,0.0628,0.272
355,355,-5.248,0,0.0886,0.0848
356,356,-9.151,0.000106,0.26,0.281
357,357,-7.365,0,0.0263,0.779
358,358,-6.902,0.00106,0.0479,0.00972
359,359,-4.237,4.64E-05,0.143,0.00496
360,360,-4.348,1.38E-05,0.11,0.0462
361,361,-4.524,0,0.047,0.0326
362,362,-6.543,2.69E-06,0.0614,0.322
363,363,-3.725,0.000167,0.0554,0.0789
364,364,-6.538,0,0.0412,0.104
365,365,-4.787,0,0.153,0.198
366,366,-2.652,1.94E-06,0.0593,0.11
367,367,-5.479,1.00E-05,0.0623,0.16
368,368,-4.456,1.57E-06,0.0358,0.216
369,369,-4.782,0,0.0668,0.0715
370,370,-6.228,0.000238,0.0533,0.363
371,371,-5.718,0.000579,0.0893,0.524
372,372,-8.045,0.331,0.0376,0.00981
373,373,-6.142,0,0.079,0.25
374,374,-6.867,0,0.199,0.458
375,375,-6.542,0,0.0401,0.248
376,376,-6.779,8.16E-05,0.0698,0.127
377,377,-7.957,0,0.141,0.393
378,378,-6.863,0.000268,0.07,0.264
379,379,-3.702,7.83E-06,0.345,0.484
380,380,-3.743,0,0.0329,0.73
381,381,-4.439,6.18E-06,0.0477,0.127
382,382,-4.891,4.21E-06,0.179,0.118
383,383,-4.395,0,0.199,0.0328
384,384,-6.663,1.61E-05,0.0335,0.00948
385,385,-5.979,0,0.333,0.00473
386,386,-6.591,0,0.295,0.603
387,387,-5.706,0,0.279,0.176
388,388,-7.768,0,0.161,0.161
389,389,-5.134,0,0.286,0.0406
390,390,-4.615,0.00018,0.113,0.0798
391,391,-3.914,0.025,0.114,0.0249
392,392,-3.131,0.000678,0.0334,0.25
393,393,-5.745,0.000131,0.0307,0.202
394,394,-5.444,1.77E-05,0.0437,0.3
395,395,-3.766,0,0.0268,0.169
396,396,-5.226,0,0.0622,0.073
397,397,-5.215,0.000381,0.052,0.147
398,398,-5.294,0,0.0298,0.0485
399,399,-7.296,0,0.0339,0.0192
400,400,-3.955,6.98E-05,0.0343,0.00776
401,401,-5.904,0,0.0618,0.108
402,402,-5.612,0,0.299,0.441
403,403,-4.219,0,0.0701,0.143
404,404,-4.341,0,0.0522,0.337
405,405,-5.288,0,0.103,0.0291
406,406,-5.979,0,0.333,0.00473
407,407,-3.87,0,0.0648,0.327
408,408,-7.768,0,0.161,0.161
409,409,-3.822,0,0.217,0.562
410,410,-4.642,1.91E-06,0.0571,0.0584
411,411,-4.824,2.35E-05,0.0927,0.00762
412,412,-4.449,2.23E-05,0.0694,0.066
413,413,-4.657,4.32E-06,0.0944,0.166
414,414,-6.574,0.00143,0.167,0.119
415,415,-5.296,0,0.0325,0.00291
416,416,-5.4,0,0.256,0.108
417,417,-6.16,3.28E-06,0.039,0.382
418,418,-1.681,0,0.115,0.291
419,419,-6.585,0,0.0328,0.0902
420,420,-17.669,2.96E-05,0.0339,0.144
421,421,-14.516,0.000388,0.0482,0.92
422,422,-5.652,0,0.0324,0.271
423,423,-14.667,0,0.161,0.708
424,424,-7.699,0,0.243,0.493
425,425,-10.305,0,0.0391,0.228
426,426,-15.742,2.31E-06,0.0351,0.848
427,427,-13.062,0,0.162,0.814
428,428,-4.767,3.25E-05,0.0277,0.0864
429,429,-5.529,1.18E-06,0.0427,0.0635
430,430,-5.3,2.36E-06,0.259,0.152
431,431,-6.756,0,0.153,0.123
432,432,-3.425,1.74E-06,0.0489,0.166
433,433,-8.932,0,0.145,0.316
434,434,-4.456,0.000188,0.0459,0.0368
