Track_ID,Liveness,Valence
1258,0.193,0.968
1259,0.0325,0.809
1260,0.288,0.969
1261,0.252,0.967
1262,0.15,0.88
1263,0.341,0.968
1264,0.0347,0.957
1265,0.0433,0.944
1266,0.261,0.797
1267,0.0732,0.774
1268,0.122,0.335
1269,0.0618,0.253
1270,0.287,0.635
1271,0.0931,0.358
1272,0.11,0.643
1273,0.104,0.144
1274,0.139,0.366
1275,0.103,0.326
1276,0.419,0.743
1277,0.175,0.701
1278,0.0854,0.857
1279,0.0513,0.537
1280,0.308,0.606
1281,0.352,0.461
1282,0.135,0.276
1283,0.203,0.343
1284,0.178,0.652
1285,0.187,0.634
1286,0.0888,0.595
1287,0.154,0.868
1288,0.121,0.787
1289,0.0543,0.809
1290,0.227,0.614
1291,0.0596,0.765
1292,0.11,0.388
1293,0.419,0.649
1294,0.209,0.874
1295,0.437,0.317
1296,0.349,0.811
1297,0.2,0.285
1298,0.0555,0.933
1299,0.101,0.533
1300,0.103,0.785
1301,0.108,0.356
1302,0.183,0.946
1303,0.712,0.398
1304,0.0841,0.217
1305,0.169,0.466
1306,0.107,0.53
1307,0.0691,0.575
1308,0.2,0.285
1309,0.142,0.444
1310,0.0654,0.82
1311,0.0615,0.946
1312,0.35,0.906
1313,0.473,0.685
1314,0.0981,0.714
1315,0.0718,0.554
1316,0.628,0.362
