Track_ID,Artist_Name,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title,Channel,Views,Likes,Comments,Licensed,official_video,Stream
46,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Paradise,Mylo Xyloto,album,spotify:track:6nek1Nin9q48AVZcWs9e9D,0.449,0.585,5.0,-6.761,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,278719.0,https://www.youtube.com/watch?v=1G4isv_Fylg,Coldplay - Paradise (Official Video),Coldplay,1665814269.0,8497224.0,343020.0,True,True,927288329.0
47,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Hymn for the Weekend,A Head Full of Dreams,album,spotify:track:3RiPr603aXAoi4GHyXx0uy,0.491,0.693,0.0,-6.487,0.0377,0.211,6.92e-06,0.325,0.412,90.027,258267.0,https://www.youtube.com/watch?v=YykjpeuMNEk,Coldplay - Hymn For The Weekend (Official Video),Coldplay,1828242112.0,13515772.0,377666.0,True,True,1049654852.0
48,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,My Universe,Music Of The Spheres,album,spotify:track:46HNZY1i7O6jwTA7Slo2PI,0.573,0.711,1.0,-6.268,0.0406,0.0114,0.0,0.328,0.47,105.006,226198.0,https://www.youtube.com/watch?v=3YqPKLZF_WU,Coldplay X BTS - My Universe (Official Video),Coldplay,254655970.0,8867547.0,432726.0,True,True,883224238.0
49,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,Fix You,X&Y,album,spotify:track:7LVHVU3tWfcxj5aiPFEW4Q,0.209,0.417,3.0,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178,295533.0,https://www.youtube.com/watch?v=k4V3Mo61fJM,Coldplay - Fix You (Official Video),Coldplay,566239229.0,2962029.0,114460.0,True,True,1115171056.0
50,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],single,spotify:track:2Foc5Q5nqNiosCNqttzHof,0.794,0.811,6.0,-8.966,0.038,0.0426,1.07e-06,0.101,0.862,116.047,248413.0,https://www.youtube.com/watch?v=CCHdMIEGaaM,Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers,convar HUN,32310867.0,956073.0,19646.0,False,False,844698895.0
51,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,One More Time,Discovery,album,spotify:track:0DiWol3AO6WpXZgp0goxAV,0.613,0.697,2.0,-8.618,0.133,0.0194,0.0,0.332,0.476,122.746,320357.0,https://www.youtube.com/watch?v=FGBhQbmPwH8,Daft Punk - One More Time (Official Video),Daft Punk,432177586.0,2707992.0,110189.0,True,True,471747761.0
52,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Instant Crush (feat. Julian Casablancas),Random Access Memories,album,spotify:track:2cGxRwrMyEAp8dEbuZaVv6,0.775,0.585,10.0,-9.516,0.0271,0.0422,0.619,0.077,0.518,109.942,337560.0,https://www.youtube.com/watch?v=a5uQMwRMHcs,Daft Punk - Instant Crush (Video) ft. Julian Casablancas,DaftPunkVEVO,606828966.0,3111505.0,87115.0,True,True,460589724.0
53,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (feat. Pharrell Williams & Nile Rodgers),Random Access Memories,album,spotify:track:69kOkLUCkxIZYexIgSG8rq,0.81,0.793,6.0,-9.404,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,369627.0,https://www.youtube.com/watch?v=CCHdMIEGaaM,Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers,convar HUN,32310867.0,956073.0,19646.0,False,False,400304719.0
54,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Around the World,Homework,album,spotify:track:1pKYYY0dkg23sQQXi0Q5zN,0.956,0.795,7.0,-5.311,0.15,0.00356,0.889,0.0906,0.841,121.294,429533.0,https://www.youtube.com/watch?v=K0HSD_i2DvA,Daft Punk - Around The World (Official Music Video Remastered),Daft Punk,38218353.0,466569.0,11904.0,True,True,293417547.0
55,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,"Harder, Better, Faster, Stronger",Discovery,album,spotify:track:5W3cjX2J3tjhG8zb6u0qHn,0.817,0.716,6.0,-8.898,0.144,0.0427,0.00263,0.358,0.692,123.474,224693.0,https://www.youtube.com/watch?v=gAjR4_CbPpQ,"Daft Punk - Harder, Better, Faster, Stronger (Official Video)",Daft Punk,121308880.0,1329678.0,70754.0,True,True,292668007.0
56,Daft Punk,https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi,Something About Us,Discovery,album,spotify:track:1NeLwFETswx8Fzxl2AFl91,0.875,0.475,9.0,-12.673,0.0986,0.44,0.72,0.046,0.384,99.958,232667.0,https://www.youtube.com/watch?v=sOS9aOIXPEk,Daft Punk - Something About Us (Official Video),Daft Punk,77464307.0,723914.0,23915.0,True,True,185381876.0
